,author,title,desc,format
908,Elle Jasper,Eventide,"Newly-bitten tattoo artist Riley Poe feels herself changing in unimaginable ways. Eli Dupre, her vampire lover, has seen the change in her and fears for her humanity. His rival, Victorian, tells her she must see the patriarch of the vampire cult that attacked her to save her soul. In the vampire cult's fortress in Romania, Riley will face her worst fears-and the dark powers threatening to destroy her. And she'll have to do the one thing she's been determined not to do—put her trust in Eli.",0
909,Jessa Russo,Ever,"Seventeen-year-old Ever’s love life has been on hold for the past two years. She’s secretly in love with her best friend Frankie, and he’s completely oblivious.Of course, it doesn't help that he’s dead, and waking up to his ghost every day has made moving on nearly impossible.Frustrated and desperate for something real, Ever finds herself falling for her hot new neighbor Toby. His relaxed confidence is irresistible, and not just Ever knows it. But falling for Toby comes with a price that throws Ever’s life into a whirlwind of chaos and drama. More than hearts are on the line, and more than Ever will suffer.Some girls lose their hearts to love.Some girls lose their minds.Ever Van Ruysdael could lose her soul.",0
910,Brenda Pandos,Everblue,"Best friends share everything with each other. Or do they? Seventeen-year-old Ashlyn Frances Lanski is tired of her boring, single life. Spending time with her best friend Tatiana, dreaming about kissing Tatiana's twin brother Fin, and swimming competitively are her only sanctuary. The girls plan to leave their drab lakeside town far behind for college. But when Tatchi fails to return home after a family emergency, and no one knows where the family has gone, Ash chooses to do something drastic to find them.Ashlyn is about to discover what she’d thought to be true her whole life, wasn’t, and the truth, too fantastical to imagine. Secrets lurk beneath the deep blue waters of Lake Tahoe, secrets that will change Ashlyn's life forever.",0
911,Brodi Ashton,Everbound,"Nikki Beckett could only watch as her boyfriend, Jack, sacrificed himself to save her, taking her place in the Tunnels of the Everneath for eternity — a debt that should’ve been hers. She’s living a borrowed life, and she doesn’t know what to do with the guilt. And every night Jack appears in her dreams, lost and confused and wasting away.Desperate for answers, Nikki turns to Cole, the immortal bad boy who wants to make her his queen — and the one person least likely to help. But his heart has been touched by everything about Nikki, and he agrees to assist her in the only way he can: by taking her to the Everneath himself.Nikki and Cole descend into the Everneath, only to discover that their journey will be more difficult than they’d anticipated — and more deadly. But Nikki vows to stop at nothing to save Jack — even if it means making an incredible sacrifice of her own.In this enthralling sequel to Everneath, Brodi Ashton tests the bonds of destiny and explores the lengths we’ll go to for the ones we love.",0
912,Elizabeth Chandler,Evercrossed,"It’s been a year since Ivy’s boyfriend, Tristan, died. They’ve both moved on—Tristan to the other side of the afterlife, and Ivy to sweet, dependable Will. Now Ivy’s heading to Cape Cod, hoping to leave the horror of last summer behind. She wants nothing more than to lie on the beach, sip lemonade, and hang out with her friends. But then a car crash ends Ivy’s life. As she floats to the beyond, looking down on the life she’s left behind, Tristan breathes life back into her with a passionate kiss. She wakes up in the hospital, surrounded by Will and her family, but all she can think about is the love that she lost. But memories aren’t all that’s come back from the past. And this time, Ivy’s not sure love will be enough to save her.",0
913,Elle Jasper,Everdark,"When Savannah tattoo artists Riley Poe is ambushed by an undead enemy, she inherits some of the traits of her attackers-and a telepathic link with a rampaging vampire. Now, she's experiencing murder after murder through the victims' eyes. And her new powers will not be enough to stop the horror-or the unending slaughter...",0
914,Mickee Madden,Everlastin',"1843 - Lachlan Baird brings his bride to the house he'd built especially for her. But the honeymoon is cut short when Lachlan is murdered. Now Lachlan haunts the house that brought him death instead of happiness. 1994 - Beth Staples, who has spent her life catering to others, takes a well-earned vacation. In a magnificent mansion in Scotland, she meets the man of her dreams. But her dream man is a ghost! Can a sensible modern woman and an irresistible seductive spirit find happiness together? With a little trust, a lot of love, and a few twists of fate, anything is possible.",0
915,Candace Knoebel,Everlasting,"What if your destiny lay on the other side of death?The annual Culling ceremony is a day every coming-of-age novice looks forward to within the Primeval Coven. It’s the start to being initiated into the Night Watchmen, humankind’s protectors, and it’s the long-awaited day when novices discover if they’re a Hunter or a Witch.But this day is not a happy one for Faye Middleton. Not when she’s known her whole life that she’s a Defect and is about to face banishment in front of her fellow novices. She’s forced to attend the Culling with little hope for her future, but what she discovers about herself is far worse than she could’ve imagined. And far more dangerous. Thrown into training and separated from her friends, Faye must learn to adjust. She struggles to find her place within the Coven, and with Jaxen Gramm, the darkly handsome and extremely unnerving man assigned to watch and protect her. Emotions run high, and when she discovers a deadly secret about him, her struggles deepen. As corruption within the Coven begins to unravel, Faye pieces together her role in saving the future of her people, and within Jaxen’s life...but will the truth save her, or be her undoing?",0
916,Amanda Ashley,Everlasting Desire,"Desire Burns ForeverThe clientele at Shore's clothing store includes some of L.A.'s sexiest bachelors. But none of them affects Megan DeLacey as deeply as the dark-eyed stranger who strides into her boutique one evening - and keeps returning, night after night. Megan is drawn to Rhys Costain even as she fears him. Because his reason for being there is clear - he wants Megan, with an intensity that's both tempting and terrifying.For almost five centuries, Rhys has lived alone, using women as it pleased him and never wanting more. As Master of the West Coast vampires, it's his duty to eliminate the ancient vampire who's draining humans on his turf, putting all of their kind at risk. But Megan's lush beauty and vibrant warmth is blinding him to a danger that will soon engulf them both - and tear him from the only woman who can satisfy his darkest hunger.",0
917,Charlotte Blackwell,Everlasting Embrace,"Sophia Pierce has walked the earth for over a century. She’s struggled, but finally found meaning to her existence. She found love, friendship and an amazing family. Now with the love of her life by her side, Sophia feels strong enough to conquer anything. Even raising a baby, born as his mother died at the hands of the Cerberus, evil Vampires. Sophia helps her best friend deal with the loss of her husband and raising their daughter. Stronger than ever, Sophia isn’t prepared for everything she’s about to learn.Good versus evil seems like a pretty easy concept, but that’s not always true. When an Angel hunter comes for Nathanial’s friend Ben a Nephilim, Sophia and the Pierce family vow to protect him. Ben finds safety in the new Supernatural school created by the Pierce family, their shape shifter allies and the Magnificent Ones. With Caspian’s at the head of the school, things are bound to get exciting. Everlasting Embrace will take you on an exciting journey, of danger, love and life. When one love leaves, can another be found? Can that love return to you once they left? Sophia Pierce will learn the answers to this and so much more as she helps the ones she loves heal.",0
918,Lynn Viehl,Evermore,"The NEW YORK TIMES AND USA Today bestselling Darkyn series continues...  Jayr is proud to be the only female ever permitted to serve as seneschal to a Darkyn lord. But in her centuries of service to Master Byrne, she has fallen in love with him. Now, Byrne plans to step down and hand over the Jardin to another Kyn lord-a move that threatens not only Jayr's position, but her very life...",0
919,Brodi Ashton,Everneath,"Last spring, Nikki Beckett vanished, sucked into an underworld known as the Everneath. Now she’s returned—to her old life, her family, her boyfriend—before she’s banished back to the underworld . . . this time forever. She has six months before the Everneath comes to claim her, six months for good-byes she can’t find the words for, six months to find redemption, if it exists.Nikki longs to spend these precious months forgetting the Everneath and trying to reconnect with her boyfriend, Jack, the person most devastated by her disappearance—and the one person she loves more than anything. But there’s just one problem: Cole, the smoldering immortal who enticed her to the Everneath in the first place, has followed Nikki home. Cole wants to take over the throne in the underworld and is convinced Nikki is the key to making it happen. And he’ll do whatever it takes to bring her back, this time as his queen.As Nikki’s time on the Surface draws to a close and her relationships begin slipping from her grasp, she is forced to make the hardest decision of her life: find a way to cheat fate and remain on the Surface with Jack or return to the Everneath and become Cole’s queen.Everneath is a captivating story of love, loss, and immortality from debut author Brodi Ashton.",0
920,Candace Knoebel,Evernight,"The stunning sequel to the thrilling paranormal romance novel Everlasting!One lie will change everything.Faye Middleton has secured the Dagger of Retribution for the High Priesthood, but in doing so, she’s opened the door to more demands set by them. She now has to break the Holy Seal, and soon. Trapped in the alluring Ethryeal City, Faye is pushed to the breaking point trying to discover just what she is truly capable of, even if it means destroying herself in the process.With the clock ticking down to the war between both Covens, and the truth about her parent’s mysterious disappearance within her reach, Faye is faced with tough choices that will forever change her. Will Faye be able to handle the demands from the Priesthood, and still be able to continue her search for her parents?But more importantly, can she survive the truth she finds?",0
921,Jennifer L. Armentrout,Every Last Breath,"Some loves will last ’til your dying breathEvery choice has consequences—but seventeen-year-old Layla faces tougher choices than most. Light or darkness. Wickedly sexy demon prince Roth, or Zayne, the gorgeous, protective Warden she never thought could be hers. Hardest of all, Layla has to decide which side of herself to trust.Layla has a new problem, too. A Lilin—the deadliest of demons—has been unleashed, wreaking havoc on those around her…including her best friend. To keep Sam from a fate much, much worse than death, Layla must strike a deal with the enemy while saving her city—and her race—from destruction.Torn between two worlds and two different boys, Layla has no certainties, least of all survival, especially when an old bargain comes back to haunt them all. But sometimes, when secrets are everywhere and the truth seems unknowable, you have to listen to your heart, pick a side—and then fight like hell…",0
922,Michelle Knudsen,Evil Librarian,"He’s young. He’s hot. He’s also evil. He’s . . . the librarian.When Cynthia Rothschild’s best friend, Annie, falls head over heels for the new high-school librarian, Cyn can totally see why. He’s really young and super cute and thinks Annie would make an excellent library monitor. But after meeting Mr. Gabriel, Cyn realizes something isn’t quite right. Maybe it’s the creepy look in the librarian’s eyes, or the weird feeling Cyn gets whenever she’s around him. Before long Cyn realizes that Mr. Gabriel is, in fact . . . a demon. Now, in addition to saving the school musical from technical disaster and trying not to make a fool of herself with her own hopeless crush, Cyn has to save her best friend from the clutches of the evil librarian, who also seems to be slowly sucking the life force out of the entire student body! From best-selling author Michelle Knudsen, here is the perfect novel for teens who like their horror served up with a bit of romance, plenty of humor, and some pretty hot guys (of both the good and evil variety).",0
923,Brodi Ashton|Klaus Timmermann|Ulrike Wasel,Ewiglich die Hoffnung,"Sehnsucht, stärker ist als jede Vernunft. Liebe, ewig und für alle Zeiten.Nichts wünscht sich Nikki sehnlicher zurück als Jack, der sich für sie geopfert hat und den Weg ins Ewigseits angetreten war. Nun versucht Nikki alles, um ihn zu retten. Doch die Träume, in denen Jack ihr erscheint, werden immer schwächer und sie weiß, dass ihr nicht mehr viel Zeit bleibt. Da macht der undurchschaubare Cole ihr ein unglaubliches Angebot und verspricht, Jack zu finden. Doch kann Nikki ihm wirklich trauen?",0
924,Brodi Ashton|Ulrike Wasel,Ewiglich die Liebe,"Nikki hat einen großen Preis zahlen müssen, um Jack zu retten: der Ewigliche Cole hat sich durch eine List ihres Herzens bemächtigt. Noch immer sieht er in ihr seine Persephone, die Herrscherin der Unterwelt. Während Nikki und Jack alles daran setzen, das Herz zurückzugewinnen, bereiten Cole und seine Freunde sich darauf vor, den Kampf um die Herrschaft des Ewigseits zu gewinnen. Nikki erkennt, dass sie nur eine Chance hat, die Ewiglichen zu vernichten: Sie muss Coles Persephone werden.",0
925,Brodi Ashton|Ulrike Wasel|Klaus Timmermann,Ewiglich die Sehnsucht,"Wenn die Unsterblichen das größte Opfer verlangen... Jack ist Nikkis große Liebe. Eine Liebe, die sie durch die Finsternis der Unterwelt getragen hat. Endlich, nach hundert Jahren der Sehnsucht, kehrt Nikki zurück. Doch ihr bleibt nur ein halbes Jahr. Ihre Freunde und ihr Vater glauben, dass sie einfach abgehauen war, doch in Wirklichkeit hat der Rockmusiker Cole sie mit in die Unterwelt genommen. Cole ist ein Unsterblicher, der sich von den Gefühlen der Menschen ernährt. Nur Nikkis Liebe zu Jack hat sie davor bewahrt zu sterben und ihr ermöglicht, auf die Erde zurückzukehren. Cole, mit dem sie ein seltsam enges Band verbindet, bedrängt sie, mit ihm gemeinsam in der Unterwelt zu herrschen. Doch Jack, der Nikki niemals wieder verlieren möchte, riskiert alles für sie... Große Gefühle, verzweifelte Hoffnung - der Sehnsuchtsroman von der wahren Liebe Der erste Band der Ewiglich-Trilogie verbindet ein modernes Setting mit Elementen aus dem ""Orpheus"" und ""Eurydike""-Mythos.",0
926,Abbi Glines,Existence,"What happens when you're stalked by Death? You fall in love with him, of course.Pagan Moore doesn't cheat Death, but instead, falls in love with him.Seventeen year old Pagan Moore has seen souls her entire life. Once she realized the strangers she often saw walking through walls were not visible to anyone else, she started ignoring them. If she didn't let them know she could see them, then they left her alone. Until she stepped out of her car the first day of school and saw an incredibly sexy guy lounging on a picnic table, watching her with an amused smirk on his face. Problem is, she knows he's dead.Not only does he not go away when she ignores him, but he does something none of the others have ever done. He speaks. Pagan is fascinated by the soul. What she doesn't realize is that her appointed time to die is drawing near and the wickedly beautiful soul she is falling in love with is not a soul at all.He is Death and he's about to break all the rules.",0
927,Beckie Stevenson,Existing," This is a mature young adult book that is recommended for readers aged 17+. This book contains subject matter that has mature and disturbing scenes.Roisin Williams is desperate to be the girl that blends into the background. She doesn’t really speak and she doesn’t want to be spoken to. This is the only way she knows how to protect the secret she’s kept hidden for her whole life.Lance Williams knows that his daughter doesn’t behave like a normal seventeen year old girl and he’s worried. He decides a fresh start, away from their house that’s full of old, painful memories is a good idea. A new home, in a new city where no one knows her can only be a good thing for Roisin, right?Wrong. Cannon Beach is home to Cabe Evans. He’s smart, polite, kind and ridiculously attractive, but he doesn’t date - ever. At school, he’s popular, outgoing and has all the girls falling at his feet, all of them except the new girl, Roisin, who seems to do everything she possibly can to avoid him.When Cabe’s intrigue gets the better of him he tries to figure out why Roisin wants to hide from everyone, but soon finds himself caught up in a tangled web of deceit, torment and anger.Can Cabe rescue Roisin before it’s too late, or will her secret be the death of her?",0
928,Marjorie M. Liu,Eye of Heaven,"Dirk & Steele had a creed: Protect the innocent in secrecy. No member of the Agency was ""normal."" Each was an outcast, a pariah, a beneficent shadow living under the sun but rarely in its warmth. ""Blue"" Perrineau was no different. And now, when it was clear that darker shadows existed in the world- people who followed no rule under heaven- every secret was a liability. Blue would soon see.They came from all over the world to observe Iris's lithe, catlike body and her affinity for wild creatures. But beyond the celebrity of the Las Vegas footlights, a blackness grew. All eyes were upon her, seeking, judging... coveting. But one gaze was that of a savior, a man of electricity and mystery- a mystery as deep and convoluted as her own. And together, they might yet see the dawn.",0
929,Katie French,Eyes Ever to the Sky,"When Hugh wakes up in a smoldering crater—no memory, no clothes—a single thought echoes in his head…trust no one. Frightened and alone, with no memory of who he is, he stumbles upon a grisly murder scene and is fatally shot. He wakes, only to find he can heal himself. He has superpowers, and he’s going to need them.Desperate and bleeding, Hugh stumbles upon fifteen-year-old Cece, who’s got enough troubles of her own. Between caring for her bipolar mother and trying not to get evicted from her run-down trailer, Cece may be the only person struggling as much as Hugh. Drawn to Hugh, Cece finds a love she’s never known. But when the real killer—a man-hunting beast—chooses another victim, Hugh and Cece realize they must unlock the clues to their past if they have any chance at a future.",0
930,Dale Mayer,Eyes to the Soul,"Just because a person can see – doesn't mean they should look.Celina Wilton was technically blind, a state she wasn't very happy about. In her case the alternative was worse. So she'd learn to adapt, one way or another.Stefan Kronos has wanted to get close to Celina for a long time, but she has walls that he's been forced to go around in some unusual ways. When a case he's been called to consult on puts her square in his radar he has to watch his step…and hers.Unraveling the threads twisting between them and a killer like none Stefan had seen before means Celina has to trust him enough to let him inside her barriers.That's when Stefan realizes he's not the only with eyes into her soul.",0
931,Nora Roberts,Face the Fire,"The conclusion of the Three Sisters Island trilogy. The new owner of the island's only hotel, Sam has returned to Three Sisters with hopes of winning back Mia's affections. But Mia needs his help to face her greatest challenge, and the deadline for breaking a centuries-old curse draws near.",0
932,Lisa McMann,Fade,"SOME NIGHTMARES NEVER END.For Janie and Cabel, real life is getting tougher than the dreams. They're just trying to carve out a little (secret) time together, but no such luck.Disturbing things are happening at Fieldridge High, yet nobody's talking. When Janie taps into a classmate's violent nightmares, the case finally breaks open -- but nothing goes as planned. Not even close. Janie's in way over her head, and Cabe's shocking behavior has grave consequences for them both.Worse yet, Janie learns the truth about herself and her ability -- and it's bleak. Seriously, brutally bleak. Not only is her fate as a dream catcher sealed, but what's to come is way darker than she'd feared....From the inside of ISBN 1416953582/9781416953586",0
933,Jaime Reed,Fading Amber,"After falling for a Cambion and then turning into one herself, Samara never thought her senior year could get any more complicated. The gaps in her memory, the mysterious deaths and the constant danger that threaten her once quiet town have a common thread: Tobias, a demon with a lot of enemies. He's also Samara's other soul mate and he's suddenly disappeared. But Samara isn't the only one who wants to find Tobias. His enemies are getting closer and their plans for retribution could mean deadly consequences for Samara and her true soul mate, Caleb.",0
934,Karen Marie Moning,Faefever,"The New York Times bestselling author of Darkfever and Bloodfever returns to Dublin’s Fae-infested shores in a bold, sensual new novel. Hurtling us into a realm of seduction and shadows, Karen Marie Moning tells the enthralling tale of a woman who explores the limits of her mysterious powers as she enters a world of ancient sorcery—and confronts an enemy more insidious than she could ever have imagined.
He calls me his Queen of the Night. I’d die for him. I’d kill for him, too. When MacKayla Lane receives a torn page from her dead sister’s journal, she is stunned by Alina’s desperate words. And now MacKayla knows that her sister’s killer is close. But evil is closer. And suddenly the sidhe-seer is on the hunt: For answers. For revenge. And for an ancient book of dark magic so evil, it corrupts anyone who touches it.Mac’s quest for the Sinsar Dubh takes her into the mean, shape-shifting streets of Dublin, with a suspicious cop on her tail. Forced into a dangerous triangle of alliance with V’lane, an insatiable Fae prince of lethally erotic tastes, and Jericho Barrons, a man of primal desires and untold secrets, Mac is soon locked in a battle for her body, mind, and soul. As All Hallows’ Eve approaches and the city descends into chaos, as a shocking truth about the Dark Book is uncovered, not even Mac can prevent a deadly race of immortals from shattering the walls between worlds—with devastating consequences.…",0
935,Patricia Briggs,Fair Game,"Patricia Briggs, the #1 ""New York Times"" bestselling author of the Mercy Thompson novels, ""always enchants her readers."" (Lynn Viehl, ""New York Times"" bestselling author) Now her Alpha and Omega series-set in a world of shifting shapes, loyalty, and passion- brings werewolves out of the darkness and into a society where fear and prejudice could make the hunters prey...They say opposites attract. And in the case of werewolves Anna Latham and Charles Cornick, they mate. The son-and enforcer-of the leader of the North American werewolves, Charles is a dominant alpha. While Anna, an omega, has the rare ability to calm others of her kind.Now that the werewolves have revealed themselves to humans, they can't afford any bad publicity. Infractions that could have been overlooked in the past must now be punished, and the strain of doing his father's dirty work is taking a toll on Charles.Nevertheless, Charles and Anna are sent to Boston, when the FBI requests the pack's help on a local serial killer case. They quickly realize that not only the last two victims were werewolves-all of them were. Someone is targeting their kind. And now Anna and Charles have put themselves right in the killer's sights...",0
936,Amanda Ashby,Fairy Bad Day,"While most students at Burtonwood Academy get to kill demons and goblins, fifteen-year-old Emma gets to rid the world of little annoying fairies with glittery wings and a hipster fashion sense. She was destined to be a dragon slayer, but cute and charming Curtis stole her spot. Then she sees a giant killer fairyÑand it's invisible to everyone but her! If Emma has any chance of stopping this evil fairy, she's going to need help. Unfortunately, the only person who can help is Curtis. And now, not only has he stolen her dragon-slayer spot, but maybe her heart as well! Why does she think it's going to be a fairy bad day?",0
937,Cyn Balog,Fairy Tale,"Morgan Sparks has always known that she and her boyfriend, Cam, are made for each other. But when Cam’s cousin Pip comes to stay with the family, Cam seems depressed. Finally Cam confesses to Morgan what’s going on: Cam is a fairy. The night he was born, fairies came down and switched him with a healthy human boy. Nobody expected Cam to live, and nobody expected his biological brother, heir to the fairy throne, to die. But both things happened, and now the fairies want Cam back to take his rightful place as Fairy King.Even as Cam physically changes, becoming more miserable each day, he and Morgan pledge to fool the fairies and stay together forever. But by the time Cam has to decide once and for all what to do, Morgan’s no longer sure what’s best for everyone, or whether her and Cam’s love can weather an uncertain future.",0
938,Kristen Ashley,Fairytale Come Alive,"In Isabella Austin Evangelista’s life miracles never happen… she knows she’s destined to be the princess who’s stuck in the middle of a fairytale where there will be no happily ever after. Once upon a time, Prentice Cameron loved Isabella Austin until he discovered she was a spoiled, rich girl who spent her summers toying with his heart. Life led Prentice to his own fairytale, the love of the full-of-life Fiona Sawyer. That being so, that fairytale was torn away when Fiona died of a brain tumor leaving Prentice with a house to keep clean, piles of laundry to be done, a business to run and two children who were getting tired of takeaway. But Isabella comes back to Prentice’s tiny fishing town and she sweeps into his children’s lives like a beautiful, well-dressed fairy godmother who bakes exquisite chocolate cakes and gives the perfect manicure to six year old girls. Then Prentice finds out Isabella’s soul destroying secrets, secrets that explain why she left him so many years ago. Fiona, stuck in her village and forced to haunt her family and watch Prentice and Isabella’s crazy dance, finds the impossible happening. She’s cheering for Bella and Prentice to rekindle their love. Then she finds out why she’s caught in her heartbreaking haunting and discovers she must embrace her magic and keep Bella safe or Bella’s fairytale will never come true.",0
939,Amelia Atwater-Rhodes,Falcondance,"Nicias has never felt completely at home among the avians and serpiente in Wyvern's Court, despite his loyalty to Oliza Shardae Cobriana, the heir to both thrones. He is a falcon, the son of two exiles from Anhmik and images of this distant island have always haunted his dreams. But when Nicias's visions become more like reality, his parents have no choice but to send him back to the homeland and a royal falcon they've tried their best to forget.If Araceli won't bind Nicias's newfound magic, it could destroy him. In a place where everyone is a pawn, only one other woman has the potential to save Nicias. But she holds the keys to a dangerous power struggle that will force Nicias to choose between his duty and his destiny.",0
940,Christine Zolendz,Fall From Grace,"I'm finally home after struggling through my brother's illness and death. But, home is definitely a bit different. My best friend (the only person alive now that knows my secret) has a new boyfriend; and he has a friend. Shane Maxton: bad boy, tattooed rock god, eye candy extraordinaire. He is also New York City's most arrogant, self-serving, son of a, well, a definite one-night stand kind of a guy.But, it doesn't matter to me because I've spent my existence looking for the love of my life, my angel. And, there is nothing that Shane Maxton can do to change that.A paranormal romance.",0
941,Lauren Kate,Fallen,"Librarian's note: An alternate cover edition can be found hereThere's something achingly familiar about Daniel Grigori.Mysterious and aloof, he captures Luce Price's attention from the moment she sees him on her first day at the Sword & Cross boarding school in sultry Savannah, Georgia. He's the one bright spot in a place where cell phones are forbidden, the other students are all screw-ups, and security cameras watch every move.Even though Daniel wants nothing to do with Luce--and goes out of his way to make that very clear--she can't let it go. Drawn to him like a moth to a flame, she has to find out what Daniel is so desperate to keep secret . . . even if it kills her.Dangerously exciting and darkly romantic, Fallen is a page turning thriller and the ultimate love story.Book Details:  Format: Hardcover 
   Publication Date: 12/8/2009 
   Pages: 464 
   Reading Level: Age 12 and Up 
 ",0
942,Lauren Kate,Fallen in Love,"Unexpected. Unrequited. Forbidden. Eternal. Everyone has their own love story.And in a twist of fate, four extraordinary love stories combine over the course of a romantic Valentine's Day in Medieval England. Miles and Shelby find love where they least expect it. Roland learns a painful lesson about finding and losing love. Arianne pays the price for a love so fierce it burns. And for the first and last time, Daniel and Luce will spend a night together like none other. Lauren Kate's Fallen in Love is filled with love stories . . . the ones everyone has been waiting for. True love never says goodbye . . .",0
943,S.L. Naeole,Falling From Grace,"When you wake up in the morning and your eyes take in the first hints of light that shine through your window, the dust motes catching and reflecting the sun’s rays like little diamonds, the shimmering hues of yellow and orangey gold breaking through into your room, the first thing you think about usually isn’t how you’re going to make it through the worst day of your life.Unfortunately for Grace Shelley, that’s exactly what she’s facing as she ponders what to do now that she’s going to be starting out her last year in high school without her best friend. She’s not exactly the most popular girl in school - well, not the most popular girl in school to like, anyway - and everything seems to be hinting at another status quo year for her until she bumps into a stranger who leaves her stumbling for words and chasing after her heart.The new guy in school is different. Robert doesn’t care about the rumors he’s heard about her or that no one else seems to see her the same way that he does; he only wants to be her friend. That’s when things get complicated. When Grace learns that he’s not your typical high school boy and that he’s actually a wingless angel who’s looking for someone to trust, she’s thrust into his world where not all angels are meant to protect human beings, and where the changes she brings into his life changes everything in hers.",0
944,Ann Somerville,Falling From the Tree,"Sixteen years after ""Kei’s Gift"", Karik is taking his first steps into the wider world. But the question of his parentage, and the role Arman played in his history, are mysteries Karik has to solve. But in doing that, he gets a lot more than he bargained for – and to face the new challenges, he’ll need to grow up in a hurry. ""Landing softly"" is a side story to ""Falling from the tree"".",0
945,Thea Harrison,Falling Light,"Having finally reunited, and fought off The Deceiver for now, Mary and Michael race up the Michigan peninsula to meet Astra before police forces catch up with them. But the closer they get, the less Mary is willing to trust a woman who by her own admission will do anything to finish The Deceiver – even if it means killing Michael and Mary to try again in another life. As they face their final battle unsure if they can trust either side, Michael’s loyalties are tested, making him vulnerable just when Mary needs him most.",0
946,Gwen Hayes,Falling Under,"Theia Alderson has always led a sheltered life in the small California town of Serendipity Falls. But when a devastatingly handsome boy appears in the halls of her school, Theia knows she's seen Haden before- not around town, but in her dreams.As the Haden of both the night and the day beckons her closer one moment and pushes her away the next, the only thing Theia knows for sure is that the incredible pull she feels towards him is stronger than her fear.And when she discovers what Haden truly is, Theia's not sure if she wants to resist him, even if the cost is her soul.",0
947,Parker Blue,Fang Me,"The vampires want it. The demons want it, too. And someone is willing to kill Val for it.Val and Fang have to find the powerful Encyclopedia Magicka before either of San Antonio's warring underworld factions locate it or the consequences will be deadly for the entire city. As usual, Val's vampire enemies (they still call her The Slayer) want her dead. Even some of her fellow demons may be less than trustworthy, since they'd like to grab the legendary book of spells before she does. Val has a personal claim to the Encyclopedia - her demon father left it to her when he died - but someone stole it recently. And that can't be good.Battling vamps and dodging demons, Val struggles to unravel the mystery and find the thief. At the same time, she's fighting her attraction to sweet, sexy Shade - her favorite shadow demon. Rumor has it that Val will lose her part-demon, vampire-fighting powers if she gives herself to him.With a crowd of vamps and demons out to trick her or kill her, it's not a good time for her to risk her job as the city's best vampire hunter by falling in love. The stakes are high and aimed right at her heart. But Lola, Val's hungry little lust demon, doesn't like being denied. Will Lola finally get her way?What's a part-lust-demon-teen supposed to do? Whatever it takes.",0
948,Michelle Rowen,Fanged & Fabulous,"My name is Sarah Dearly, and I've got major problems. Last month, I was turned into a vampire by the world's worst blind date. Then I may have, totally by accident, started a war between the mostly peaceful bloodsuckers and a bunch of sociopathic vamp hunters who have nicknamed me the Slayer of Slayers. Now I'm being used as bait to draw out the hunters' bad-ass leader, while my gorgeous 600-year-old boyfriend Thierry seems to be blowing me off, and my sizzle-hot, fanged friend Quinn is trying to turn my self-defense lessons into make-out sessions. So you know what? I'm done. I've had it. There comes a time when a vamp has to just suck it up and go after what she wants. And as soon as I figure out what that is, that's exactly what I'll do...",0
949,Kristen Ashley,Fantastical,"Cora Goode has woken up in a fairytale world where she can understand what birds are saying to her, men ride horses and have fluffy feathers in their hats and furniture zigs, zags and whirls in miracles of construction. The problem is, she thinks she’s in a dream but she’s actually taken the place of the parallel universe Cora and without realizing it, our Cora does something that starts a centuries old curse that will sweep the land if she gets captured by the evil Minerva. At this point, her dream world becomes a nightmare. Luckily, hot guy, fantasyland Noctorno is there to save her from the clutches of the grotesque vickrants sent by Minerva to capture her. Unfortunately, hot guy, fantasyland Noctorno doesn’t like the Cora of his world all that much (to say the least) and he thinks our Cora is her. And no matter what our Cora says or does to try to convince him, he won’t be convinced. But Cora needs Tor to keep her safe and guide her through this fantastical world as she hopes one day to wake up in her not-so-great apartment in her not-so-great life in her world. The problem is, the more time she spends with the gorgeous warrior Tor, the faster she falls in love with him.",0
950,Sherrilyn Kenyon,Fantasy Lover,"
Dear Reader,
Being trapped in a bedroom with a woman is a grand thing. Being trapped in hundreds of bedrooms over two thousand years isn't. And being cursed into a book as a love-slave for eternity can ruin even a Spartan warrior's day.
As a love-slave, I know everything about women. How to touch them, how to savor them, and most of all, how to pleasure them. But when I was summoned to fulfill Grace Alexander's sexual fantasies, I found the first woman in history who saw me as a man with a tormented past. She alone bothered to take me out of the bedroom and onto the world. She taught me to love again.
But I was not born to love. I was cursed to walk eternity alone. As a general, I had long ago accepted my sentence. Yet now I have found Grace--the one thing my wounded heart cannot survive without. Sure, love can heal all wounds, but can it break a two-thousand-year-old curse?
Julian of Macedon
See original cover edition: here",0
951,Robyn Peterman,Fashionably Dead,"Vampyres don’t exist. They absolutely do not exist.At least I didn’t think they did ‘til I tried to quit smoking and ended up Undead. Who in the hell did I screw over in a former life that my getting healthy equates with dead?Now I’m a Vampyre. Yes, we exist whether we want to or not. However, I have to admit, the perks aren’t bad. My girls no longer jiggle, my ass is higher than a kite and the latest Prada keeps finding its way to my wardrobe. On the downside, I’m stuck with an obscenely profane Guardian Angel who looks like Oprah and a Fairy Fighting Coach who’s teaching me to annihilate like the Terminator.To complicate matters, my libido has increased to Vampyric proportions and my attraction to a hotter than Satan’s underpants killer rogue Vampyre is not only dangerous . . . it’s possibly deadly. For real dead. Permanent death isn’t on my agenda. Avoiding him is my only option. Of course, since he thinks I’m his, it’s easier said than done. Like THAT’S not enough to deal with, all the other Vampyres think I’m some sort of Chosen One.Holy Hell, if I’m in charge of saving an entire race of blood suckers, the Undead are in for one hell of a ride.",0
